WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
723	4719082.021	4641965.385	4667853.031	4390327.869
724	4729482.286	4652263.428	4678004.854	4406685.678
725	4740865.92	4663840.674	4689214.943	4415399.241
726	4752334.536	4675343.078	4700841.088	4429699.162
727	4769180.294	4692972.135	4717171.578	4446829.986
728	4777065.495	4700758.925	4725302.277	4454125.737
729	4787611.778	4711510.682	4735999.826	4466694.86
730	4799912.211	4724290.342	4748256.91	4480892.537
731	4808906.416	4733520.722	4756641.332	4494638.888
732	4828415.322	4753282.865	4776494.728	4506140.526
733	4839627.074	4764780.403	4787248.747	4515368.103
734	4849104.469	4774711.13	4797111.57	4534902.488
735	4866442.271	4792527.648	4813620.903	4547202.126
736	4875933.316	4802852.429	4823625.822	4555361.952
737	4884702.653	4811152.073	4831357.374	4569201.732
738	4894207.24	4821088.59	4841952.128	4581020.596
739	4911546.938	4839206.142	4858782.91	4596173.915
740	4922571.964	4849941.393	4868866.036	4607704.605
741	4938013.041	4865896.607	4885296.056	4620588.009
742	4945056.054	4873314.354	4892332.562	4633223.214
743	4952376.951	4882321.494	4899467.564	4644340.242
744	4967817.384	4897999.15	4914993.275	4651714.515
745	4977519.765	4907410.64	4924440.518	4662357.553
746	4988059.92	4918286.615	4934805.539	4676178.379
747	4996552.15	4927592.372	4943596.802	4686962.895
748	5005903.371	4938532.79	4952811.555	4697821.14
749	5015601.607	4947734.808	4961758.024	4712062.536
750	5033526.645	4966194.294	4980544.247	4724464.433
751	5043801.349	4976195.683	4990708.561	4736064.995
752	5052995.223	4987428.988	5000433.562	4743950.23
753	5062336.516	4996445.117	5009070.053	4762621.047
754	5070722.221	5005293.911	5017547.898	4770757.972
755	5090233.354	5026608.427	5037000.576	4783891.022
756	5100134.093	5036500.837	5046926.037	4796913.044
757	5111655.623	5047661.937	5057533.812	4810339.692
758	5119996.185	5056705.921	5066436.495	4823017.034
759	5124099.491	5063083.709	5070828.572	4837992.302
760	5143968.435	5082903.174	5090445.89	4848767.939
761	5152409.636	5091973.403	5098556.206	4863308.396
762	5165325.325	5105011.869	5111603.905	4870107.922
763	5183338.214	5123020.571	5129062.151	4883884.824
764	5194180.46	5134970.592	5140040.374	4903053.843
765	5209148.037	5150950.616	5156023.104	4909302.926
766	5217552.272	5159812.012	5164719.853	4922152.592
767	5228997.469	5170072.703	5174417.052	4939399.205
768	5236645.929	5181511.127	5182981.512	4946169.149
769	5247712.635	5192420.937	5192714.132	4962481.605
770	5267676.693	5212851.864	5214089.049	4967186.891
771	5275071.545	5220606.137	5221675.052	4977917.114
772	5284530.454	5230549.638	5231504.09	4999830.835
773	5294335.408	5240350.511	5239748.604	5006468.178
774	5302672.606	5249164.901	5248257.238	5016497.625
775	5321423.827	5270978.942	5266846.385	5035824.265
776	5330002.602	5280163.782	5275460.586	5045139.52
777	5338874.593	5289231.694	5285388.421	5059358.085
778	5350008.957	5299721.348	5295376.527	5067232.501
779	5366747.478	5318713.746	5311958.442	5081096.414
780	5375380.348	5327302.985	5321140.945	5099577.468
781	5382677.006	5335522.007	5328394.354	5103310.812
782	5399554.191	5351893.134	5344037.093	5119585.333
783	5410657.84	5365359.676	5356207.254	5130274.239
784	5435017.774	5390782.934	5380503.745	5130563.875
785	5443296.364	5398949.381	5388047.599	5149220.525
786	5459461.109	5415671.408	5403976.258	5166172.118
787	5448447.072	5406432.376	5394294.673	5176608.601
788	5463333.571	5421426.716	5407861.494	5187994.379
789	5466071.049	5425032.956	5410578.915	5194359.339
790	5473189.198	5433859.876	5419296.245	5204727.08
791	5490945.367	5451511.278	5435363.111	5218588.819
792	5503314.895	5464834.93	5447136.865	5231223.76
793	5510866.909	5473410.719	5456240.126	5241887.61
794	5520551.191	5483662.639	5465658.755	5253967.631
795	5530549.311	5495199.586	5475520.969	5263500.528
796	5540901.833	5507170.341	5485619.3	5283350.511
797	5548835.475	5515712.754	5493457.41	5289125.469
798	5563615.666	5532047.856	5508451.829	5301433.218
799	5570521.588	5539455.317	5514689.644	5313240.154
800	5578853.899	5548336.439	5523462.745	5328486.963
801	5592751.493	5563441.785	5537484.941	5335755.73
802	5599825.145	5571215.796	5543606.306	5345840.729
803	5608284.441	5581399.067	5553284.947	5354800.106
804	5626327.536	5600964.665	5570940.065	5375096.921
805	5632486.026	5607805.21	5576949.789	5384003.251
806	5650111.639	5626627.653	5594397.565	5391347.465
807	5657000.016	5634458.921	5601165.09	5405427.334
808	5661354.434	5639526.404	5605609.622	5419663.641
809	5669666.174	5650190.432	5614207.462	5429590.813
810	5690279.319	5671860.973	5634752.623	5447506.381
811	5695437.36	5677130.093	5640055.881	5458685.771
812	5701113.259	5683699.303	5645779.35	5471729.415
